language,average-whatlang,single-words-whatlang,word-pairs-whatlang,sentences-whatlang,average-cld3,single-words-cld3,word-pairs-cld3,sentences-cld3,average-lingua-low,single-words-lingua-low,word-pairs-lingua-low,sentences-lingua-low,average-lingua-high,single-words-lingua-high,word-pairs-lingua-high,sentences-lingua-high
Greek,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Gujarati,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100
Hebrew,90,76,94,99,NaN,NaN,NaN,NaN,100,100,100,100,100,100,100,100
Hindi,52,26,40,88,58,34,45,95,33,11,20,67,73,61,64,95
Hungarian,62,37,53,95,76,53,76,99,90,77,94,100,95,87,98,100
Icelandic,NaN,NaN,NaN,NaN,71,42,70,99,88,72,92,99,93,83,97,100
Indonesian,67,39,66,95,46,26,45,66,47,25,46,71,61,39,61,83
Irish,NaN,NaN,NaN,NaN,67,42,66,94,85,70,90,95,91,82,94,96
Italian,56,25,47,96,62,31,57,98,71,42,74,98,87,69,92,100
Japanese,99,100,100,97,98,97,96,100,100,100,100,100,100,100,100,100
Kazakh,NaN,NaN,NaN,NaN,82,62,83,99,90,78,93,99,92,80,96,99
Korean,100,100,100,100,99,100,100,98,100,100,100,100,100,100,100,100
Latin,NaN,NaN,NaN,NaN,62,44,58,83,73,49,76,94,87,72,93,97
Latvian,59,36,54,87,75,51,77,98,87,75,90,97,93,85,97,99
Lithuanian,62,38,56,92,72,42,75,99,87,76,89,98,95,86,98,100
Macedonian,62,39,54,94,60,30,54,97,72,52,70,95,84,66,86,99
Malay,NaN,NaN,NaN,NaN,22,11,22,34,31,22,36,35,31,26,38,28
Maori,NaN,NaN,NaN,NaN,52,22,43,91,82,62,87,98,91,82,92,99
Marathi,73,52,74,93,84,69,84,98,39,16,30,72,85,74,85,96
Mongolian,NaN,NaN,NaN,NaN,83,63,87,99,95,89,98,99,97,93,99,99
Nynorsk,34,10,24,69,NaN,NaN,NaN,NaN,52,25,49,81,66,41,66,91
Persian,70,46,66,99,76,57,70,99,80,62,80,98,90,78,94,100
Polish,66,45,59,94,77,51,80,99,90,77,93,99,95,85,98,100
Portuguese,57,26,48,96,53,21,40,97,69,42,70,95,81,59,85,99
Punjabi,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100
Romanian,59,35,52,90,53,24,48,88,72,49,74,94,87,69,92,99
Russian,53,40,52,68,71,48,72,93,78,59,84,92,90,76,95,98
Serbian,57,34,51,86,78,63,75,95,78,62,80,91,88,74,90,99
Shona,68,44,65,95,76,51,79,99,81,56,86,100,91,78,96,100
Slovak,NaN,NaN,NaN,NaN,63,32,61,96,75,49,78,97,84,64,90,99
Slovene,48,25,38,81,63,29,60,99,67,39,68,93,82,61,87,99
Somali,68,38,66,99,69,38,70,100,85,64,90,100,92,82,96,100
Sotho,NaN,NaN,NaN,NaN,49,15,33,98,72,43,75,97,86,67,90,100
Spanish,48,19,33,93,48,16,32,96,56,26,49,94,70,44,69,97
Swahili,NaN,NaN,NaN,NaN,57,25,49,98,70,43,68,97,81,60,84,98
Swedish,49,24,40,83,61,30,56,96,72,46,76,94,84,64,88,99
Tagalog,52,23,43,90,NaN,NaN,NaN,NaN,66,36,67,96,78,52,83,98
Tamil,100,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100
Telugu,100,100,100,100,99,99,100,99,100,100,100,100,100,100,100,100
Thai,100,100,100,99,99,100,100,98,100,100,100,100,100,100,100,100
Tsonga,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,46,73,97,84,66,89,98
Tswana,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71,44,73,96,84,65,88,99
Turkish,54,26,44,92,69,41,70,97,87,71,91,100,94,84,98,100
Ukrainian,72,53,71,93,81,62,83,98,86,75,92,93,92,84,97,95
Urdu,57,31,46,94,61,39,53,92,80,65,78,96,91,80,94,98
Vietnamese,73,36,85,97,66,26,74,99,87,76,87,98,91,79,94,99
Welsh,NaN,NaN,NaN,NaN,69,43,66,98,82,61,87,99,91,78,96,99
Xhosa,NaN,NaN,NaN,NaN,66,40,65,92,69,45,67,94,82,64,85,98
Yoruba,22,11,14,41,15,5,11,28,62,33,61,92,74,50,77,96
Zulu,70,44,68,98,63,35,63,92,70,45,72,94,81,62,83,97
Malayalam,100,100,100,100,99,99,100,100,43,23,38,69,100,100,100,99
