स्थुलातून भेटावेसे
आग्नेय आशियात
कोणत्याही व्यवहाराच्या
गोदामात ठिकठिकाणी
ओळखून योजना
हळूहळू चीनमधील
सत्तेची प्रथम
रोग्याने आपल्यापासून
स्वामी म्हणजेच
सल्ला वाचकांनी
नाकपुडीने ओंकार
एखादी खासगी
रामराजे मुख्य
पेरल्यापासून आठवड्यांत
निवडणुकीच्या मैदानात
लाचलुचपत प्रतिबंधक
पक्षांचे उमेदवार
उपसता उपसता
पंधरा मिनिटे
पाजलं नराधमांनी
विशेष फायदा
अजूनही ह्याचही
महिन्यातले पंधरा
शिक्षक प्रयत्नशील
प्रमुखांचे स्वागत
करणारे त्याबाबत
लिऑनने घेतले
प्रतिदिनच असल्याचा
म्हणून कुठेतरी
पंतप्रधानपदाचे उमेदवार
परिस्थिती पहायला
वृत्ती त्याला
धर्माची आधारशीला
प्रदेश किनाऱ्यावर
प्रमाण रशियात
यांचा निष्कर्ष
चेहरा स्वच्छ
त्यामुळे अशावेळी
करावेत त्यात
असलेल्या गाईने
संख्या असल्याने
यांद्वारे करणारे
विरोधात एफ्आयआर्
मनावर घ्यायचे
प्रजा अडाणीच
त्यांत शास्त्रीय
यांना प्रश्न
अन्यथा नुकसानीच्या
अशीही अपेक्षा
सर्वात समृद्ध
द्रविडीयन सुद्धा
निर्णय वर्षी
त्यामुळेच त्याची
पचवणं काहीसं
स्वाद आणण्यास
बोल्ड असल्याने
त्यांची पुण्याई
खाद्यपदार्थांना स्वाद
मुलगी माहिती
म्हणजे त्याचे
सामान्य मतदार
परदेशातील शिक्षणासाठी
गोळीसुद्धा लागली
मुदतठेवींच्या बाबतीत
वर्षातच उतारूंना
हवामानबदलाचे उपाययोजना
त्यामुळे महामंडळावर
पडतात इंडिया
आराखडयाचे पंचायत
यातील वर्षीय
कर्तृत्वाचे आलेले
जनावरे गोठ्याबाहेर
दोन्हीही उमेदवार
सगळ्याचा सुगावा
भाषणाला पाचारण
त्याची मुद्रा
दिलेल्या देशांत
विसाव्या शतकाच्या
किंवा निव्वळ
अभिनयाच्या बाबतीत
नगरसेवक पदधिकाऱ्यांनी
भारतवर्षाला ललामभूत
त्यातूनच गांधीजींच्या
गुन्ह्यांमध्ये सहभागी
लाकडात कलाकुसर
वाढून कोटींच्या
सक्रियतांसारख्या शीघ्र
इथल्या सुजाण
समाजासाठी विविध
एकाचाही चुकूनदेखील
जीवद्रव्याच्या सक्रियतांसारख्या
राजकीय धार्मिक
परिभ्रमण काढण्याचाही
नैसर्गिकच सहजप्रेरणावाद्यांचे
तेव्हा दांभिक
कुशवाह याच्याविरोधात
भूमिकेची परिक्षा
तुर्कस्तानचे बरेचसे
तुमची घड्याळ
आपल्याकडील विक्री
रुपये असणारी
टॉलेमीने नगरीचा
एकत्र नामांकित
गुजरातमधील टक्के
बॅफिन उपसागर
न्यायमूर्ती समितीचे
राशीत तेंव्हा
अंगावर शहारे
पुरोहित साध्वी
मागणी ग्रामसभेत
समर्थन अतिशय
सेव्हिंग अकाऊंटच्या
चौकात कार्यकर्ते
शतकापर्यंत पंथाची
इनेबल उपलब्ध
अविनाश पाटील
गडचिरोली जिल्ह्यातील
वाटणार खात्री
वंशाच्या राजांचा
वेळच्या निवडनुकां
भगवद्गीता समजण्यासाठी
पोहोचण्यास अकार्यक्षम
करारानुसार राज्य
यासाठी कोटय़वधींचे
बाजारपेठ गजबजली
लोकांसमोर मांडण्यात
झालेले प्रत्यक्ष
फवारकाचा वितळतो
राज्य समन्वयक
महाजन यांच्या
कार्यही त्यांनी
मुख्य मिलियन्स
काळात येथील
त्याच्या पदरात
स्थानकात आल्यानंतर
काढण्याचाही प्रयत्न
असतांना शाळेतील
संघाच्या अधिवेशनात
हस्तिदंती कर्णभूषणे
प्रमुख पंथसदस्य
महापुरूष अस्तित्वात
सुरात बोलल्यासारखे
तिच्या समोरील
संघाचे नेतृत्व
वस्तूंचा क्रिया
असल्याचे मांडले
त्यांच्या खर्चामध्ये
खेकडे त्यांचे
मालमत्तेतील उत्पन्नाचा
विद्यापीठातील शास्त्रज्ञांचा
मात्र अलीकडे
आमच्या कामाच्या
किंवा लिहिणाऱ्या
त्याशिवाय नवरात्राच्या
म्हणून डॉक्यूमेंट
जिल्हयांचा विकास
पोलिसाचा हिंदु
प्रदानासाठी संबधीत
घेवून आपल्या
त्याने तोलून
पोलिसांनी आयोजित
भीमेकाठच्या मातीतल्या
करण्याच्या प्रचंड
आपल्या चित्रपट
गावचे सरपंच
मुंबईचे देशात
पंथाची लोकप्रियता
कुठलेही व्याज
कुठलेही युक्तीवाद
झोपडपट्टी मानली
अभ्यास अपेक्षित
पुन्हा तासाभराने
अंतोली व्हासिल्येव्ह्यिच
ओळखिच्या काकांचे
धर्मसुधारणा चळवळीच्या
जायचा लवकरच
परिसरातून मद्याची
दळणवळण क्षेत्रातील
व्यवस्थापन विभागात
म्हणाल्या दोन्ही
युतीचे विसर्जन
बजाजांकरवी न्यास
पाहायला तितक्या
राजकीय यांच्यासह
पुस्तकातील प्रकरणांमध्ये
पाण्याचा पुरवठा
निर्बंध असेही
शिक्षणविषयक समस्या
महायुतीचे बारसे
याच्या बेछूट
सारखी मोठमोठी
मौलिक लेखाची
शिपायाने करणाऱ्या
सकारात्मक तालुका
होण्याचा प्रवास
गाड्या लागल्या
काँग्रेसी राज्यकर्त्यांनी
भूमिका स्पष्ट
बनावटीत टप्पे
भारतीय लोकशाहीत
वंशात पुष्कळ
पाणिपुरी खातांना
भावना ठेवून
त्याचप्रमाणे सुयोग्य
करण्यासाठी पादत्राणांत
तिबेटी संस्कृतीशी
निरीक्षणाला मूल्य
फ्रँक रेमंड
गर्दीत चेहरा
शिकवण विसरल्यामुळे
कार्यक्रम अकराच्या
सरस्वती यांचा
इत्यादींच्या जुळलेल्या
पत्रिका दाखविली
पर्याय मराठी
करतानाच हाताळण्यास
क्रूरतेनं मारण्याची
प्रयोगशाळा यांच्याबरोबर
सुजाण श्रोत्यांना
दिवसेंदिवस महापालिकेवर
ईतिहासकालीन चित्रपटांचे
सावळाराम पाटकर
माहितीची देवघेव
होणारी बाह्यजगातील
लोकप्रतिनिधींशी सुसंवाद
लैकिक चरितांच्या
त्यामुळेच शृंगारिक
पुरावा आदर्श
राजीव गांधी
बिघडविणार माहिती
करण्याची उदाहरणे
द्राक्ष निर्य़ात
लुशाई टेकड्या
एनएसएच्या गुप्त
यावर्षी मार्चमध्ये
किंगच्या भाषांतराशी
आवर्ती ठेवींच्या
वांशिक समुदाय
निषेध केल्याचे
आपल्याला काहीनाकाही
सलामच करावा
चिंताच देशपांडे
ग्रंथरूपाने संगृहीत
प्रत्येक मतदारसंघात
हानीभरपाईच्या नावाखाली
नदीच्या प्रेमात
बागायती क्षेत्रात
मुलांच्या जीवनाशी
मराठी समाजाच्या
योग्य उपाययोजना
पूर्वेकडील ब्रह्मदेशाच्या
आवश्यक असल्याने
येथील धर्माभिमानी
प्रभाग निर्मितीला
आर्थिक सुधारणा
त्यामुळे हल्डरलीन
संबोधावे शिफारस
प्रश्न त्यांना
गोतिए यांना
उत्सुकता करणारेस
खतामुळे शेतातील
मथुरा तक्षशिला
त्यांच्या वतीने
तापमान हवेचा
आपलंसं टोकाच्या
पोहोचवून त्यांच्या
सुद्धा क्षेत्राकडे
प्रमाणात देणग्या
जुळवून आव्हान
फिरताना व्यक्तींना
असल्यामुळे नैसर्गिक
दांड्यावर ठेवून
जनजागरण गडचिरोली
तीव्र प्रतिक्रिया
कार्यालयात महिलांनी
स्थितीत विकृती
मुलगी सध्या
नियोजन विभागाचे
लोकरीचे प्रमाण
अन्याय अत्याचार
भरायची त्याचीही
अत्याचार त्यालाच
राजकीय भौगोलिक
बारसे शिवसेनाप्रमुख
देवापुढे त्याची
प्रसारासाठी गेल्या
अश्लील संकेतस्थळाद्वारे
तिसरा अण्णा
पंधरावर्षीय मुलाचे
गप्पिष्टपणाचा किंवा
गोष्ट दाखवत
अन्सारी यांच्या
पोर्तुगीज गद्यात
शेताकडे दिवसातून
त्यांचे आदानप्रदान
शेंगांचे शेंगांच्या
महाराष्ट्राचे मुख्यमंत्री
पवित्र विवाह
आनंदने गेलफांडला
जास्त लांबीला
कसाबच्या फाशीने
पादत्राणांत लोकरीचे
निमुळत्या तोंडातून
द्वारे कमावण्याचा
दिवसानी गोष्ट
तथापि त्याच्या
पाठींबा सरकार
निवडणुकांत विक्रम
घेतलं त्यांना
लावून बसल्याने
त्यावर तिसरा
यांची आग्नेय
खुर्चीकडे लावून
ईदच्या दिवशी
नागरी भागातील
निदान महापालिकेच्या
प्रयत्न फिनलॅंड
कायदे बनवण्याचे
त्यांच्या नियमित
योग्य प्रशिक्षण
थडकलं त्यात
संसर्गकारक सजीवापासून
परिस्थितीत पूर्ण
लोकशाहीत प्रसंगाने
उपयोग मिठाई
ग्रंथांत मथुरा
त्यामुळे संवाद
स्वरूप टिळकांचे
लग्नास लग्नेश
भगवान श्रीकृष्ण
व्यवहाराच्या किंमतीचा
घेण्यास कसोटी
गाडगीळ नावाने
कोणाशी संवाद
अल्पसंख्याक वांशिक
ठेवली बँकेकडून
पिवळसर लवचिक
अन्नधान्यासाठी द्याव्या
जनतेच्या भावना
कामाला लागले
स्टॉलवर लाकडात
प्रदेश उत्तर
स्ट्रेंजवेज यांनी
रेंगत रेंगत
प्रश्न निर्माण
जवळीक लडाखला
यांपैकी थोडेच
इतक्या त्वेषाने
संकेतस्थळाद्वारे पिढीला
बघायला पुस्तक
प्रसिद्ध झालेले
पक्षाच्या देहली
ग्लायकोसाइड जळणाकरिता
मिनिटे असतील
खासगी सार्वजनिक
कोणतीही कटूता
भरण्यासाठी आईकडे
कापूस खासगी
भावपूर्ण लोकनेते
मंत्री पंकजा
श्वसनास मोकळी
तुमचे धमकीही
श्रीचंद्रावली नाटिकेमध्ये
विष्ठा यांचा
साईंबाबा मंदिराजवळ
श्रेत्रांतल्या खडकांचे
अश्वत्थामा द्रोणाचा
सुमारे सहस्र
फडणवीस राज्यातील
प्रकरणात नियामक
शतकाच्या शेवटी
महामार्ग रोखून
नामनिर्देशित झालेल्या
संकेतानुसार सर्वोच्च
यांचा सन्मान
श्रीलंकेतील ख्रिस्ती
काँग्रेस सत्ता
त्याच्या तोंडवळ्यावर
इतक्या तडकाफडकी
वेडींग गाऊनला
बनविल्याने सौंदर्याची
स्मिथसोनियन मासिक
दिलेल्या उमेदवारांच्या
त्याला सायकोलोजी
म्हणजे विद्युतचुंबकिय
परिस्थिती पाहून
फाशीची शिक्षा
देखील मागणी
स्वप्न पूर्णत्वास
त्याखालच्या अर्ध्या
गुंतले ह्यावरही
अतिशय लाजिरवाणे
मात्र शंकराचार्यांची
तपासाविषयी पत्रकारांनी
त्याच्या फुलांची
जिल्ह्यातील भागामधील
रात्रंदिवस सेवेचाच
पॅनेलमधे बसलेले
असमानताविरहीत समाजाचे
तंत्रज्ञानाची माहिती
नागरी समाजानी
विद्यार्थ्यांची निश्चित
निवडणुकीनंतर महानगरपालिका
क्विंटल दराचा
तीनशेवर स्थिरावला
पोस्ट करावी
घोटाळ्यांचा अभ्यास
वाढलेल्या शेंगांचे
त्यात चपट्या
मेगापिक्सेल किंवा
ह्याचही कौतुक
मान्यतेने आराखडा
घेतल्याशिवाय ज्ञानाची
प्रागची काळात
व्याकरणात पुरुष
असलेले ठिकाणी
सवांद यांचे
परंतु त्यांचे
त्यांच्या लक्षात
माणूस समाजप्रिय
कोणत्याही निरीक्षणाला
लोकांना आपल्या
ज्येष्ठ सिनेपत्रकार
दिग्दर्शक म्हणून
आयोगाचे कार्यकारी
समोरील दलदलीचा
असलेल्या त्यांच्या
ब्रिटिश किंवा
परंतु अस्थिर
चुकते अन्यायी
वस्तूंची खरेदी
अतिरिक्त मिळाल्या
कांही नसल्यामुळे
भाषांतराशी मिळते
टरबाइनामध्ये प्रथमच
सूक्ष्म अन्नद्रव्य
असल्याने माशांशी
पंचवीस वर्षाच्या
ल्यूथर किंगच्या
मौनाने बोलण्याची
म्हणूनच त्यांना
उत्तरोत्तर उंचावत
रुपयांत मात्र
मेंदू विचारवंतांचे
रोडवरील वडवली
कृतज्ञ कृतघ्न
प्रयत्नामुळे शिवसेना
कालांतराने निश्चितपणे
लिहिता त्यांच्या
जानेवारी दिल्लीमध्ये
नाड्या आवळण्याचा
बरोबर भगवान
कधीही ढळणार
नव्वदच्या दशकात
निकामी झालेल्या
बसलेले डॉक्टर
नगरीचा उल्लेख
भारतविरोधातील मानसिकता
वज्राघात त्यांच्या
काकांचे अचानक
तंतूंमध्ये प्रथिन
एकेदिवशी आमटेंचे
संयोजी ऊतकांतील
दिलेले वेळेत
बेडरूममधली कपाटात
विचार लिहितो
त्याची भीषणता
आणणारी संस्था
कायद्यानुसार दूधाची
क्लिनिक मध्येही
पाण्याच्या साहाय्याने
स्थान टक्क्यांनी
घेणारा मागणारा
उपाययोजनांविषयक शिफारशी
पोलिसांकडून चौकशी
धुरानी प्रदुषण
मराठी शब्दही
महिलांना चाकरी
रंगय्या यांनी
पात्रता भटांना
पारंपरिक वेशभूषेतील
स्विच सिग्नल
यांची भूमिका
मोदींना ईडीची
त्याचप्रमाणं सुवर्णमहोत्सवी
पातळीवर भारताची
पाहायला फोन्सवर
समाधान अधिकाधिक
नाशिकमधील शिरवाळा
गोष्टीचे साक्षी
अडतानी यांनी
जाहिरात यांचा
माझ्या तोंडून
धोरणाच्या अंमलबजावणीमध्ये
काँग्रेसला प्राप्त
लागण्याच्या स्थितीत
हिस्सा राहणार
बालकांना सक्तीचे
वर्षांचा मुलगा
घनघोर युद्ध
खाद्य विशिष्ट
यांची ख्रिस्ताब्द
पांढरे सोन्याच्या
केल्यामुळे झोनचा
प्रकारांनी आणलेल्या
लिहायला जमावे
काढले बाजूलाच
आपल्याला न्याय
अशक्य अप्रत्यक्ष
असल्यामुळे सफरीवर
यांनी आपल्याला
वाफेची संपूर्ण
विद्यापीठ विद्यापीठे
पूर्णत्वास आणण्याचा
विभागाने त्याकडे
सक्षम असतील
स्त्रियांचा चांगला
ब्रिलियन्ट व्यक्ती
आनंदयात्री जगण्याचे
याबाबतचा प्रस्ताव
सामाजिक न्याय
त्याचप्रमाणे यूरोपीय
त्याला अशक्य
तरूणी वास्तव्य
असलेल्या उपपत्तीच्या
हिंदू आचरणात
स्वतासह पत्नीला
बनवलेल्या वस्तू
मात्र मोडेन
त्यात कुटुंबाची
नसल्याचे स्पष्ट
दोषामुळे दुखावला
स्थिरावला दुसरीकडे
मुंबई जायचे
प्रचार कार्यालयात
सौंदर्याची झळाळी
लोकप्रियता टिकून
यांच्यात चालली
बहराच्या हंगामात
बहुतांशी शितगृहामधुन
तालुकाध्यक्ष अन्वर
प्रवासी स्थानकावरील
नागरिक मुख्यमंत्री
भागाने शरिराच्या
माहिती देणारे
त्यामुळे त्यांना
मारण्याची पुरोगामी
उत्तर दक्षिण
निश्चलानंद सरस्वती
म्यूझीयम हीयेथील
बांधायचा त्यावर
पुरेसे पिण्याचे
अलीकडे प्रकारांनी
हिंदू दहशतवाद्याच्या
घृणास्पद निनावी
मध्ये यांची
जातीचे मत्स्यबीज
ज्यावेळी प्रत्यक्ष
महाराष्ट्राचे मुंबईचे
केलेल्या परंतु
यांनी समितीवरच
कालाला ऋतुनिवृत्ती
जीवनसत्त्व झाल्यास
ठाण्याच्या गोपनीय
कबुली दिल्यामुळे
सांगितलेला अनेकांना
सामान्यतः भारतात
म्हणजेच पुन्हा
कुंड्यातील झाडेच
दूषित पाण्याचा
स्तुत्य उपक्रम
बंदोबस्तात करण्यात
जिवंत वस्तुगत
सुंदर किंमत
भक्कम त्याला
कालखंड तिसरा
यांच्या खात्यावर
विटंबना इतक्या
पाण्याबद्दल प्रसिद्ध
दुसरा नवराही
त्यांचे आवडते
निश्चितच निर्बंध
मज़हब सिखाता
जनतेला पुरवावे
प्राचीन अवशेष
त्याला अक्षदंड
परिणाम सामान्य
ठेवून माध्यमांपुढे
बरेचसे प्रकारचे
प्रकाराने रुग्णाला
चित्ररथात सहभागी
सचित्र कलेतिहास
सुसंगती अवलंबून
कोणाचे कुंदकळय़ासारखे
मुद्यांवर विचार
लोकसंख्या टक्क्यांहून
मोठ्या दुकानात
मुख्य म्हणजे
त्यांचे परिभ्रमण
स्वामी निश्चलानंद
निर्मितीही मात्र
त्यांच्यासाठी प्रकारची
करणारा ठरतोय
कळवळून मारणारी
मुस्लिम मताच्या
निष्ठा यांच्या
अत्यंत प्रभावी
मुख्यमंत्री देवेंद्र
यांचे छायाचित्रणाची
होणारे लिखाण
जोड्यांचा आकारमान
आतंकवादी बसल्याचे
असतात कोणाच्या
अध्यक्ष विठ्ठल
प्रकल्प मार्च
आवडीनिवडी उत्तर
तमिळमध्ये साहित्याच्या
समुद्रमच्या दबदब्यामुळे
आपल्या सीटजवळचे
भागामधील घरामध्ये
सोडविण्यासाठी गडचिरोली
विक्रम यांनीच
पुस्तकाचे मराठीत
त्यांनी नेहमी
सुसंवाद साधण्याची
माझ्यासाठी गोष्ट
शास्त्रशुद्ध अभ्यास
रुपयांची आपल्या
मुंबई केंद्राचे
मुखात दातासारखे
जमविलेल्या कलाकृती
हटवता पुरेसे
कोणता ठरवणे
बंदरवाडी झोपडपट्टीत
चष्मा कानाला
पोलीस भरतीमध्ये
अनुभवांची त्यांनी
त्यामुळेच विचार
निरनिराळ्या श्रेत्रांतल्या
देण्याचं आवाहन
अत्याधुनिक तंत्रज्ञानाची
शिवसेनाप्रमुख बाळासाहेब
अर्थाने वर्षांपूर्वीची
फायदा सर्वपक्षीय
स्वराज संस्था
निर्मिती उद्योगाकडे
फेकून द्यावे
असलेले दामले
राधाकृष्ण अर्जुन
मूळच्या काष्ठऊतींचे
विविध राजकीय
प्राप्त झाल्यापासून
ठिकाणच्या अनुभवांची
प्रतिदिन छापणे
संगणक दळणवळण
एखाद्या इंजिनियरच्या
यासाठी महामार्ग
राष्ट्रांपुढे सामाजिक
पत्नीला तिकीट
यंत्रण कार्यालयातील
ईश्वीरी कार्यही
प्रोत्साहन संस्था
कामाच्या आठवणी
वृक्ष लावण्याची
यातील डावात
कोणत्या संस्थेशी
म्हणे प्रवासी
काविळीचा उन्हाळ्याच्या
सुंदर वेबसाईट
त्यांना देण्याचं
समाजक्रांतीच्या वाटेवर
गुणसूत्रांच्या जोड्यांचा
पुन्हा स्वामी
विद्यमान शंकराचार्य
करण्याची परंपरा
झालेल्या उमेदवारांची
खेळपट्टीवर नतमस्तक
यांनी भूमिका
शक्तीची आपल्या
प्रत्येक पुनर्लेखन
देवदारसारख्या वृक्षामध्ये
सिद्धीविनायक मंदिर
त्रुटी करण्यात
वडवली परिसरात
पद्धतीनुसार सुनीताविल्यम्स
पुर्वीचा कैगचा
पिढीला नासवणार्या
करणारे ईश्वरपूर
प्रतिबंधक विभागाच्या
नोव्हेंबरच्या आठवड्यात
असल्याचे गायकवाड
पुरेपूर काळजी
तळतळाटाने कळवळून
त्याला मराठी
सार्वत्रिक संपाचे
पश्चिमी राजस्थानच्या
भविष्याचा विचार
करावयाच्या उपाययोजनांविषयक
मध्ये त्यांनी
कोपरा पकडून
उत्पादनांचे वितरण
करण्यात आश्वासन
विवाह न्यूर्टिंजन
दृष्ट्या प्रमुख
राहणे उत्तम
कॉमेडीचा उच्चांक
न्यासाने मंदिरातील
त्यांना निर्विवाद
काळातच त्याने
आपल्या कर्तृत्वाचे
गुटक्याच्या पुढ्यांचा
वरच्या मजल्यावरची
राष्ट्राच्या स्थापनेसाठी
गुजरात किनारपट्टीचे
उमेदवाराला निर्णय
त्यांना स्थुलातून
भलामोठा पडलेला
रिक्षा हद्दपार
स्वातंत्र्य पंतप्रधानांच्या
परंतु तुकामाईंना
माहिती प्रशिक्षणाचा
गजेंद्र अहिरेंच्या
राजकीय घडवून
संदेश जाणार
आजवरच्या योगदानाचे
घराण्यातला म्हणता
इतरांच्या म्हणण्याच
पोलिसांवर समाजाची
साक्षी व्हायचे
त्याला घृणास्पद
समाजकंटकांना पाठीशी
वेळेस दुधात
तेव्हा साहजिकच
विनता यांनी
वैजनाथ विधानसभा
शिल्लक साठ्याचा
दक्षिण ध्रुवाइतक्या
प्रोजेस्टेरॉन क्रमाने
ब्रेक कंपनी
कादंबरीची वाचनीयता
उपोषणास सुरवात
यांनी मराठी
मुस्कटदाबी करायला
नियमांचे उल्लंघन
पटविण्यासाठी पत्त्यांशी
बलात्कार केल्याची
भागांत विभागलेल्या
जातींत सॅपोनीन
बसल्याचे वृत्त
सुकवून ठेवतात
शिल्लक संस्था
सोसायटीमार्फत जणांना
सॅपोनीन ग्लायकोसाइड
गाफ़ील म्हणुन
शैवांच्या आगमाप्रमाणेच
चुकूनदेखील उल्लेख
व्यवसाय यांवर
अडचणी सोडवून
त्यांना हटवण्यावर
टेकड्यांचा प्रदेश
आजारपणामुळे रमाबाईंचे
मर्चंट बँकरची
बळजबरीने घूसून
मात्र प्रकार
विद्यार्थ्याना परिक्षा
साधण्याच्या दृष्टीने
ग्रॅम सूक्ष्म
विजेचे अमर्याद
बनाया ऐसाही
व्याकुंचनामुळे स्थितिस्थापकीय
पुरविण्याचा ताणही
मनाच्या तळाशी
व्यक्तींना करताना
वेगवेगळ्या चांद्रमासांत
अनिमिष नाफडे
भीषणता क्रूरताही
कुडाळ येथील
खोदकाम भीमेकाठच्या
माणसाला नैसर्गिक
संघटन निर्माण
अंनिसचे अविनाश
निवडनुकां पुर्वीचा
तालुका स्तरावरील
समाजाच्या जणांच्या
असल्याने हिंदु
येथील संशोधन
शास्त्रज्ञांचा सल्ला
उमेदवार परांजपे
दीक्षित यांच्या
साहित्य क्षेत्रातले
वैवाहिक संबंध
मध्ये होणाऱ्या
अनुभूती वर्षभर
भारताची सर्वांत
अडचणीत असल्याने
स्वलिखित असावेत
तुकडा कापून
कारागृहात राहणारा
पार्ट चित्रपट
मुंबईकर विशाल
पाहिले अक्षरशः
आठवड्यात राहण्याचे
स्पर्श करणारे
कामासाठी विशेष
ग्रामसभेच्या मान्यतेने
उपकरणामध्ये लिथियम
दरवर्षी अम्मांच्या
फिरतीवर असताना
खडकांचे निरनिराळ्या
करावयाचा शेतकरी
पडल्य़ास डॉक्टर
झाल्यापासून तासाच्या
मराठी व्यक्तिरेखा
तुकडे असलेली
येणारी रक्कमदेखील
रुपयांची अपेक्षित
प्रकाशित करण्यात
कालावधीपर्यंत करावयाचा
स्पष्टीकरण तथापि
मर्यादित राहिली
माहिती पंचायत
उमेदवारांना सामावून
आत्महत्येला प्रवृत्त
निर्मिती करण्याचा
साहजिकच लोकांना
विनोदी मनोरंजनाची
परदेशी पर्यटकांची
गोपनीय विभागातून
तिच्या दोषामुळे
घेतल्यास कुठलेही
आणण्याचा विश्चास
वस्तुगत क्रिया
यांवर अवलंबून
साहाय्याने १२०००
घालणारे लोटलीकर
तब्बल टक्क्यांनी
अनुदानाची रक्कम
लोकसंख्येत ब्राह्मण
वस्तू गिऱ्हाईक
त्यावर यांनी
निर्णय कळविला
त्यांचे प्रतिबिंब
शंकराचार्य स्वामी
वाटतं उत्कृष्ट
सहभागी कलाकारांनी
माहिती केंद्र
प्रौढ विविध
म्हणजे म्हणजे
पोलिसांच्या भावनेचा
मतदान पेटय़ा
बनवण्याचे बनवण्याचे
फुंकर घातलीत
समुदाय त्यांची
समितीव्दारे एकत्रीकरण
मुलांना आजकाल
पासून करण्याचे
भारतीयांनी एसएमएसमधून
उत्तर ठिकाणच्या
संहिता भागांत
निवेदनात म्हटले
त्याप्रमाणे म्हणून
ठाण्यात नोंदविण्यात
आगीच्या ठिकाणी
मार्गावरील रोहितक
तुकड्यांच्या नेतृत्वाखाली
चव्हाण यांनी
आंबेडकर सभागृहात
पसरलेल्या कचराकुंडीजवळ
पालखी सोहळ्याचे
मानली आधुनिक
लागल्या तेव्हा
विविध अनुभव
जोडप्यांना मुलांचा
निव्वळ फार्स
किनाऱ्यावर वाळूच्या
संगीत दिग्दर्शक
परिक्षा प्रदान
मदतीची असल्याची
किंवा प्रकारची
अर्जुनाला बरोबर
राजाला राजाही
विशेष तालुकास्तरावर
आपल्यापासून लपवून
पंतप्रधान नरेंद्र
प्रशिक्षणाचा घेतलेले
शहरांच्या वाढीचा
इंग्लिश किंवा
बहुतांशी प्रमाणात
तंत्रात वस्तूत
याबाबत बाळगलं
शतकाच्या सुरुवातीस
अत्याचारः प्रतिबंध
परिचय त्यांना
पुन्हा सोन्याचा
दुसरीकडे रुपये
मांडूळांना अधिकाधिक
चरडफत मैदानावर
सहजप्रेरणावाद्यांचे बाबतीतले
वर्षे वयाची
उपचारापुरत्या शिल्लक
