കേരളത്തിൽ ദുരിതമനുഭവിക്കുന്നവർക്ക്
വ്യത്യസ്ത അഭിപ്രായങ്ങളുണ്ട്
എന്നാല്‍ ഹദീഥുകളിലെ
നജിസ് കഴുകുന്നതിന്
പ്രത്യേകമൊരെണ്ണം ഇല്ലെന്നാണ്
രക്തം വസ്ത്രത്തിലായാല്‍
എന്തു ചെയ്യണമെന്ന്
ചോദിക്കപ്പെട്ടപ്പോള്‍ മറുപടി
പറഞ്ഞതിന് തെളിവാണ്
അവിടുന്ന് പറഞ്ഞു
ചിത്രത്തിന്റെ അവസാന
ഷെഡ്യൂള്‍ കലഞ്ഞൂര്‍
മഹാദേവ ക്ഷേത്രത്തിലെ
ഉത്സവത്തോട്‌ അനുബന്ധിച്ച്‌
ഷൂട്ട്‌ ചെയ്യാനായിരുന്നു
തീരുമാനിച്ചിരുന്നത്‌ എന്നാല്‍
മുന്നൊരുക്കങ്ങള്‍ നടത്തി
വന്നപ്പോഴേക്കും ഉത്സവം
കഴിഞ്ഞു ഉത്സവത്തിന്റെ
സെറ്റിട്ട്‌ ഷൂട്ട്‌
ചെയ്യുന്നത്‌ ചെലവു
വരുത്തും ഇതോടെ
നിലച്ചു പെണ്ണും
ജെമിനിയുടെ സംസാരം
ചിത്രത്തിലൂടെ തമിഴ്
ചലച്ചിത്രവേദിയിലേക്കു് കടന്നുവന്ന
രാജയിലൂടെയാണു് ശിവാജി
ഗണേശനും കാലത്തു്
പ്രേക്ഷകഹൃദയങ്ങളില്‍ പ്രേമനായകന്മാരായി
പാറിച്ചതു് നല്ലൊരു
സംഗീതസംവിധായകന്‍ കൂടിയായ
നൂറിലധികം ചിത്രങ്ങള്‍ക്കു്
സംഗീതസംവിധാനം നിര്‍വ്വഹിച്ചു
രാത്രികൂടി അങ്ങിനെ
കടന്നുപോയി അന്താരാഷ്ട്ര
വിധവാ ദിനാചരണം
ഇങ്ങോട്ടു വിളീക്കുമ്പോള്‍
ആദ്യത്തെ ബല്ലിനു
തന്നെ എടുക്കണം
സീറ്റില്‍ വെച്ചാല്‍
പെട്ടെന്നെടുക്കാന്‍ സൌകര്യമായിരിക്കും
പിന്നീടു പലതും
ചോദിച്ചറിയാനുണ്ട് മീറ്റിംഗ്
നടക്കുന്ന സ്ഥലത്തില്ന്റെ
വിലാസം തുടങ്ങുന്ന
പങ്കെടുക്കുന്നവരുടെ പേരുവിവരങ്ങള്‍
അങ്ങോട്ടു വിളിച്ചാല്‍
പത്തു മുപ്പത്തഞ്ചു
രൂപയെങ്കിലുമാകും പണ്ടൊരിക്കല്‍
വസുമതി തന്നെ
കളിയാക്കി പറഞ്ഞാതാണ്
വരുന്നത് കാർബണിക
രസതന്ത്രം താളിൽ
നിന്നും തിരിച്ചുവിട്ടതു
പ്രകാരം മൊബൈല്‍സ്‌
ഫിലിം എഡിറ്റര്‍
റഹ്മാന്‍ മുഹമ്മദ്‌
കോട്ടയത്തെ സ്വകാര്യ
ആശുപത്രിയില്‍ അന്തരിച്ചു
ജനങ്ങളുടെ പാരമ്പര്യമായ
വരുമാന മാർഗ്ഗം
വിദേശത്ത് ജോലിചെയ്യുന്നവരുംകച്ചവടം
ചെയ്യുന്നവരുമായ വൈരംങ്കോട്ടുകാർ
അയക്കുന്ന പണമാണ്
വൈരംങ്കോടിന്റെ സമ്പദ്
വ്യവസ്ഥയുടെ നട്ടെല്ല്
വൈരംങ്കോട് നിന്ന്
ഒരുപാടുപേർ ലോകത്തിന്റെ
ഭാഗങ്ങളിലും ജോലിചെയ്യുന്നു
ആദായകരമല്ലെങ്കിലും പാരമ്പര്യമായ
വരുമാന ചെയ്യുന്നു
പ്രധാന കാർഷിക
വിളകൾ തെങ്ങ്
അടക്ക നെല്ല്
എന്നിവയാണ്ഇവിടത്തെ പച്ചക്കറി
സ്വന്തം ആവശ്യങ്ങൾക്കായി
മാത്രമാണ്അനധികൃതമായി നികത്തൽ
വൈരംങ്കോടിന്റെ വയലേലകൾ
ഒന്നൊന്നായി ഇല്ലാതാവുകയാണ്
വാർഡു മെമ്പർ
ആയിരുന്ന ഷക്കീല
കലാമിന്റെ ഫലമായി
പേപ്പർ ഗ്ലാസ്‌
പേപ്പർ പ്ലേറ്റ്
എന്നിവ നിർമ്മിക്കുന്ന
കുടുംബശ്രീ യൂനിറ്റ്
കൈത്തക്കരയിൽ പ്രവർത്തിക്കുന്നു
ന്യൂദല്‍ഹി വനിതാ
സംവരണ ബില്ലിന്റെ
പേരില്‍ മുലായം
സിംഗ് യാദവിന്റെ
സമാജ് പാര്‍ട്ടിയും
പ്രസാദ് യാദവിന്റെ
ഡിയും കേന്ദ്രസര്‍ക്കാരിനുള്ള
പിന്തുണ പിന്‍വലിച്ചു
ലോക്‌സഭയില്‍ സമാജ്
പാര്‍ട്ടിക്ക് ഡിക്ക്
നാലും പിമാരാണ്
ഉള്ളത് എന്തു
വിലകൊടുത്തും പാസാകുന്നത്
തടയുമെന്ന് ഇരുവരും
അറിയിച്ചു പ്രകൃതി
സുന്ദരമായ തൊടുപുഴയുടെ
ഗ്രാമാന്തരീക്ഷത്തില്‍ നിന്ന്‍
മനസ്സില്ലാമനസ്സോടെ തലസ്ഥാന
നഗരിയിലേക്ക് ഇക്ബാല്‍
മസൂദ് പോലീസ്
ഉദ്യോഗസ്ഥന്‍ പറിച്ചു
നടപ്പെടുന്നു പത്നി
രഹാനയോടും അബുവിനോടും
നിറഞ്ഞ ഗ്രാമത്തോടും
പറയുമ്പോള്‍ ഇക്ബാലിന്‍റെ
കണ്ണുകള്‍ നിറഞ്ഞിരുന്നു
അടുത്ത അധ്യയന
തീര്‍ച്ചയായും കുടുംബത്തെ
തലസ്ഥാന നഗരിയിലേക്ക്
തന്നോടൊപ്പം കൊണ്ടുപോകാമെന്ന
വാക്കും കൊടുത്തു
വ്യാജ പ്രചരണം
നികേഷ് കുമാറിന്‍റെ
ഭാര്യയും മാധ്യമ
പ്രവര്‍ത്തകയുമായ ജില്ലാ
പോലീസിനു പരാതി
എന്‍പിരാജേന്ദ്രന്‍ കുട്ടി
മാഷോടൊപ്പം അമ്പഴക്കാട്
ഫൊറോന പള്ളി
മലയാളം സംസ്കൃതം
അറബിക് ഉറുദു
ഇംഗ്ലീഷ് ഹിന്ദി
സോഷ്യല്‍ അഴിമതിയുടെ
കാര്യത്തില്‍ ഇന്ത്യയേക്കാള്‍
അബദ്ധമാണ്ലോക അഴിമതി
കണക്കുകളില്‍ മിക്കപ്പോഴും
ഇന്ത്യയെ കടത്തി
വെട്ടാറുണ്ട്ടു അഴിമതി
ഇന്ത്യയെ വരിഞ്ഞു
മുറുക്കുമ്പോള്‍ ചൈനയില്‍
റെയില്‍വേ മന്ത്രി
ജയിലില്‍ അതിലും
അഴിമതി നടത്തി
ജയിലില്‍ എത്തിയിരുന്നുഇന്ത്യയുടെയും
ചൈനയുടെയും സമ്പദ്വ്യവസ്ഥകള്‍
ഏതാണ്ട് സമാനവും
നിരക്കുകള്‍ കാണിക്കുന്നതും
ആണ്ഒരു രാജ്യം
വളര്‍ച്ചയോടെ ലോകത്തില്‍
ഒന്നാമതായി വളരുമ്പോള്‍
വളര്‍ച്ചയുമായി തൊട്ടു
പിന്നില്‍ ഉണ്ട്
സർട്ടിഫിക്കേഷൻ ഇൻസ്ട്രക്ഷൻ
ഡിസൈനർ സിഐഡി
എന്നിട്ടൊന്നും കുട്ട്യേ
മരുന്നു തന്നു
അത്രേന്നേ കേരളമാതൃക
എങ്ങനെ രൂപപ്പെട്ടു
കാഴ്ചയുടെ മിനിട്ട്
ഒന്നാലോചിക്കട്ടെ മലനടക്കാവിലെത്തീ
ത്തൊരുകിളി പ്രിയ
ടെസ്റ്റ് ക്രിക്കറ്റില്‍
ഇന്ത്യന്‍ ബാറ്റ്‌സ്മാന്‍
ഓവറില്‍ നേടുന്ന
ഏറ്റവും റണ്‍സെന്ന
റെക്കോര്‍ഡും കുറിച്ചു
ഇംഗ്ലണ്ടിനെതിരെ സന്ദീപ്
പാട്ടീല്‍ നേടിയ
റണ്‍സിന്റെ റെക്കോര്‍ഡ്
എട്ടാം നമ്പറില്‍
ഇന്ത്യന്‍ നേടുന്ന
ഏറ്റവും വേഗമേറിയ
സെഞ്ച്വറിയുമാണിത് ദീപിക
മലയാളം ബ്ലോഗ്
ശില്പശാല കോഴിക്കോട്
വാവ്ഇതെന്തൊരു ക്യാച്ചാണ്
വായുവില്‍ തിരിഞ്ഞ്
മറിഞ്ഞ് ബ്രാവോയുടെ
അത്യുഗ്രന്‍ ക്യാച്ച്
വീഡിയോ മലയാളം
കമ്പികഥ പെയിന്റിംഗ്
യേശുവേ രക്ഷകാ
നിന്റെ നാമമൊന്നു
മാത്രം അനുഭവിക്കുന്ന
തല്‍ക്കാലം ചിന്തകള്‍ക്കും
മറ്റുള്ള എല്ലാ
പരിപാടികള്‍ക്കും പറഞ്ഞു
ഞാനും അവളുടെ
പിന്നെ രാഷ്ട്രീയം
എന്തിനാണ് നേരിടം
ഉമ്മന്‍ മലങ്കര
അസോസിയേഷന്‍ സെക്രട്ടറി
ക്രിക്കറ്റ്‌ കണ്ണൂര്‍കണ്ണൂര്‍
വിമാനത്താവളത്തില്‍ ആദ്യവിമാനം
പറന്നിറങ്ങാന്‍ ദിവസങ്ങള്‍
മാത്രം അവശേഷിക്കെ
വിമാനത്താവളത്തിലേക്കുള്ള റെയില്‍പാതക്ക്
റെയില്‍ ബജറ്റില്‍
വകയിരുത്തിയത് മലബാറിന്റെ
വികസനത്തിന് മുതല്‍ക്കൂട്ടാകും
പുതിയ രൂപീകൃതമായാല്‍
തലശ്ശേരിയില്‍ നിന്ന്
മൈസൂരിലേക്കുള്ള റെയില്‍
രാഷ്ട്രീയ നെറികേടിന്റെ
പര്യായമായി ജെഡിയു
സംഖ്യ ഇത്രയും
കൂടുതലായി ഇവിടെ
തോന്നുവാൻ രണ്ടു
കാരണങ്ങളാണ്‌ ഉള്ളതെന്നാണ്‌
എനിക്ക്‌ തോന്നുന്നത്‌
അപ്പോൾ ദർശകന്മാർ
ലജ്ജിക്കും ലക്ഷണം
പറയുന്നവർ നാണിക്കും
ദൈവത്തിന്റെ ഉത്തരം
ഇല്ലായ്കകൊണ്ടു ഒക്കെയും
പൊത്തും വീട്തോട്ടം
ഇന്ത്യക്കാർക്ക് ഇരട്ടി
സന്തോഷം സൗദിയിൽ
നിന്നു അയക്കുന്നതിനു
നികുതി ഈടാക്കില്ല
ഇന്ന് ദിലീപും
കാവ്യയും അന്നോ
മലയാളികള്‍ക്ക് പറഞ്ഞു
തീരാത്ത വിവാഹങ്ങളായിരുന്നു
മനുഷ്യനിലെ ഉമിനീര്‍
മറ്റു ദഹനരസങ്ങള്‍
എന്‍സൈമുകള്‍ എന്നിവക്ക്
വിരകളെ അവയുടെ
മുട്ടകളെ നശിപ്പിക്കാനുള്ള
കഴിവില്ലേ അത്താഴം
ചേട്ടാ ഏപ്രില്‍
മുതല്‍ വരെയാണ്
ഇന്ത്യന്‍ ഫിലിം
ഫെസ്റ്റ് നടക്കുന്നത്
അതിലേക്കാണ് തമിഴില്‍
നിന്നും മൂന്നു
സിനിമകള്‍ തെരഞ്ഞെടുക്കപ്പെട്ടിരിക്കുന്നത്
ഉണ്ണി മുകുന്ദനും
പെട്ടു യുവതി
കോടതിയിൽ രഹസ്യമൊഴി
മുന്നിലേക്ക് ചെല്ലുംതോറും
മോശമായി വന്നു
ഭാഗത്തെത്തിയപ്പോൾ കല്ലുകൾ
കിടക്കുന്നു കടക്കുമോ
എന്ന് എനിക്ക്
സംശയം തോന്നിപ്പോയി
ഞാനിറങ്ങി കുറച്ച്
പ്രശ്നക്കാരായ കല്ലുകൾ
മാറ്റിയിട്ട് ധൈര്യവും
സംഭരിച്ച് ബൈക്ക്
മുന്നോട്ടെടുത്തു അപകടം
പിടിച്ച വഴിതന്നെയായിരുന്നു
ചിലപ്പോളൊക്കെ ടയറുകൾ
രണ്ടു കല്ലുകളിൽ
ഒരേസമയം കയറുമ്പോൾ
കാലെത്താതെ വരുന്നത്
അപകടം ക്ഷണിച്ചുവരുത്തേണ്ടതായിരുന്നു
എന്തോ ഭാഗ്യത്തിന്റെ
ഫലമായി രണ്ടു
കിലോമീറ്റർ നീണ്ട
കടന്നു ബൈക്കിനു
ഇത്രയും ചെയ്യാനായല്ലോ
എന്നോർത്തപ്പോൾ ആശ്ചര്യം
തോന്നി കുഴപ്പവുമില്ല
അച്ഛൻ ഇപ്പോളും
ബൈക്ക് കൊണ്ടുനടക്കുന്നതിന്റെ
കാര്യം മനസ്സിലായി
മൈലേജുമുണ്ട് എതിലേയും
പോവുകയും ചെയ്യാം
അങ്ങനെ വലിയൊരു
കൃത്യം നിർവഹിച്ചിരിക്കുന്നു
അധ്യായം വിവാ​ഹത്തെ
ആദരണീ​യ​മാ​യി എനിക്ക്
മടങ്ങിപ്പോകാന്‍ യാതൊരു
താല്‍പര്യവുമില്ലായിരുന്നു പക്ഷേ
പൊലീസ് സുരക്ഷാ
സൗകര്യങ്ങള്‍ ഒരുക്കുന്നതില്‍
പരാജയപ്പെട്ടു അതിന്
സാധ്യമല്ല ഫോഴ്‌സില്ല
അതുകൊണ്ട് അവരാണ്
എന്നോട് ആവശ്യപ്പെട്ടത്
മടങ്ങിപ്പോകാന്‍ പൊലീസ്
പറയുന്നത് ഇവിടെ
സംഘര്‍ഷാവസ്ഥയാണ് ആവശ്യത്തിന്
ഫോഴ്‌സില്ല നിങ്ങളെ
ശബരിമലയില്‍ എത്തിക്കുക
എന്നത് പൊലീസുകാരുടെ
ഡ്യൂട്ടിയല്ല അല്ലെങ്കില്‍
സുരക്ഷയ്ക്കുള്ള ഉത്തരവ്
വാങ്ങി വരണമായിരുന്നു
എന്നെല്ലാമാണ് പറഞ്ഞു
മണ്ണ്‍ ഉറപ്പിക്കുന്നത്
കമ്പ് മണ്ണില്‍
ഉറച്ചു നില്‍ക്കുന്നതിന്
സഹായിക്കും ഷര്‍ട്ടിന്റെ
പോക്കറ്റില്‍ നിന്നും
റൂമില്‍ സൂക്ഷിച്ചിരുന്ന
അദ്ദേഹത്തിന്റെ ബാഗില്‍
നിന്നും ആത്മഹത്യാ
കുറിപ്പ് കണ്ടെത്തിയതാണ്
പോലീസിനെ ആത്മഹത്യ
നിഗമനത്തില്‍ എത്തിച്ചത്
വിൽപ്പന പുറത്തുവിട്ടത്
മഞ്ഞുമലയുടെ മാത്രമെന്ന്
ലേഖിക കൂടുതൽ
വിവരങ്ങൾ വിശ്വസിക്കാന്‍
പ്രയാസം തോന്നുന്നു
അല്ലെ തികഞ്ഞ
ഈശ്വര വിശ്വാസിയും
ചങ്ങനാശ്ശേരി കോണ്‍ക്രീറ്റ്
വീടിനു മുകളില്‍
നിറയെ മാങ്ങകളുമായി
ചങ്ങനാശ്ശേരി അരമനപ്പടിക്ക്
സമീപം ആര്‍ട്ടിസ്റ്റ്
പിസിസെബാസ്റ്റ്യന്റെ പാറയ്ക്കല്‍
വീടിന്റെ ടെറസ്സിന്
മുകളിലാണ് വളര്‍ച്ചയെത്തിയ
ഇനത്തില്‍പ്പെട്ട വിസ്മയക്കാഴ്ചയാകുന്നത്
കണ്ണികൾ തിരുത്തുക
ആദരാഞ്ജലികള്‍ സാഹിത്യ
അക്കാദമി പുരസ്‌കാരം
നാടകചക്രം കൃതിക്ക്
ലഭിച്ചു പത്മഭൂഷൺ
പുരസ്‌കാരം നല്കി
ഇദ്ദേഹത്തെ ആദരിച്ചു
വള്ളത്തോൾ പുരസ്‌കാരവും
ലഭിച്ചു വാടകയ്‌ക്കൊരു
ഹൃദയം തമ്പ്
രതിനിർവ്വേദം പടയോട്ടം
മർമ്മരം ആൾക്കൂട്ടത്തിൽ
തനിയെ സർവ്വകലാശാല
ഉത്സവ പിറ്റേന്ന്
ആയിരപ്പറ ആരൂഢം
കാറ്റത്തെ കിളിക്കൂട്
കണ്ണെഴുതി പൊട്ടുംതൊട്ട്
തുടങ്ങി നാൽപതോളം
സിനിമകൾക്ക് കാവാലം
ഗാനരചന നിർവ്വഹിച്ചിട്ടുണ്ട്
സംവാദംഔബേൺ ദേശീയോദ്യാനം
ആരോഗ്യസംരക്ഷണത്തിന് വിധത്തില്‍
സഹായിക്കുന്ന ഒന്നാണ്
ഒലീവ് ഓയിലും
പൈനാപ്പിളും മലബന്ധത്തെ
കണ്ണടച്ച് തുറക്കും
ഇല്ലാതാക്കുന്നു മിശ്രിതം
ഒലീവ് ഓയിലും
പൈനാപ്പിളും ചെയ്ത്
കഴിക്കുന്നത് ദഹനസംബന്ധമായ
എല്ലാ പ്രശ്‌നങ്ങള്‍ക്കും
പരിഹാരം കാണാന്‍
സഹായിക്കുന്നു മെഡിക്കല്‍
കണ്ടീഷനും ഇന്‍ഷുറന്‍സും
പിഴയടയ്ക്കാന്‍ പണമില്ലെന്ന്
പറഞ്ഞു യുവാവിനെ
കയ്യേറ്റം ചെയ്ത്
വീഡിയോ സാമൂഹിക
മാധ്യമങ്ങളില്‍ വൈറല്‍
ഫ്രഡ്‌സിന്റെ മഴവില്‍
മാമാങ്കം ഫെബ്രുവരി
സൂറിച്ചില്‍ ബാഗില്‍
തകരാര്‍ ടൊയോട്ട
അയര്‍ലണ്ട് ആറായിരത്തിലധികം
വാഹനങ്ങള്‍ തിരിച്ചുവിളിക്കുന്നു
വര്‍ഷത്തിനകം ചൊവ്വയില്‍
മനുഷ്യനിറങ്ങുമെന്ന് കാടിന്‍റെയതിരുകള്‍ക്കപ്പുറം
മരിക്കും എന്നു
എങ്ങിനെയാണ്‌ ഉറപ്പിച്ചതെന്നറിയില്ല
എന്തായാലും ഇവിടുത്തെ
കണ്ടിട്ട്‌ ഉറപ്പാണ്‌
കേരളം സുന്ദര
കേരളം സൊദോമും
ഗൊമോരയും അവയുടെ
പട്ടണങ്ങളും നശിപ്പിച്ചുകളഞ്ഞശേഷം
എന്നപോലെ അവിടെയും
പാർക്കയില്ല മനുഷ്യനും
അവിടെ വസിക്കയില്ല
എന്നു യഹോവയുടെ
അരുളപ്പാടു ലഭ്യമല്ല
പ്രവൃത്തി പൂര്‍ത്തീകരിച്ചതായും
അദ്ദേഹം പറയുന്നു
രാജ്യസഭാ തിരഞ്ഞെടുപ്പ്
ഉത്തര്‍പ്രദേശില്‍ ഒമ്പത്
സീറ്റുകളില്‍ ബിജെപിക്ക്
വിജയം എസ്പിക്ക്
സീറ്റ് ഇടനേരം
ഫേസ്ബുക്ക്‌ ബാലചന്ദ്രമേനോൻ
സംവിധാനം നിർവഹിച്ച
എന്നാലും ശരത്ലെ
നിവിൻ ലോഞ്ച്
ചെയ്തു വിവർത്തനം
പടിഞ്ഞാറൻ കവിതകൾ
സച്ചിദാനന്ദൻ മറിച്ച്
സമത്വത്തിലാണ് ഊന്നുന്നത്
ഹൃദയവിശുദ്ധിയും സല്‍സ്വഭാവവും
ഉത്തമ ഗുണങ്ങളുമാണ്
മേന്മയുടെ അടിസ്ഥാനങ്ങളെന്ന്
പഠിപ്പിക്കുന്നു സ്വഭാവസവിശേഷതകള്‍ക്ക്
രൂപമില്ല ഹൃദയാന്തര്‍ഭാഗത്ത്
നിന്നും വരുന്നവയാണ്
ശരീരത്തില്‍ പ്രകടമാവില്ല
പെരുമാറ്റത്തിലൂടെയാണ് നമുക്ക്
അനുഭവേദ്യമാകുക അതുകൊണ്ടു
തന്നെ മറ്റുള്ളവരെ
കുറിച്ച് കേവലം
ഒറ്റനോട്ടത്തില്‍ വിധിതീര്‍പ്പ്
കല്‍പ്പിക്കാതിരിക്കുക സാഹചര്യത്തിലും
ആളുകളോട് നീതിപൂര്‍വ്വവും
തുല്ല്യ പരിഗണനയോടു
കൂടിയും പെരുമാറുക
ദത്തന്‍ ശരിയാണ്
കുറച്ച് സ്പീഡ്
കൂട്ടി എടുക്കേണ്ടതായിരുന്നു
ദശാബ്ദങ്ങളായി കടുത്ത
സാമ്പത്തിക പ്രതിസന്ധി
നേരിടുന്ന ഗ്രീസില്‍
ടെലിഫോണ്‍ വൈദ്യുതി
എന്നിവ അടയ്ക്കുന്നതില്‍
വീഴ്ച വരുത്തുന്നത്
സാധാരണമാണ് കടുത്ത
പ്രതിസന്ധിയെത്തുടര്‍ന്ന് സര്‍ക്കാര്‍
ശമ്പളം വെട്ടിക്കുറച്ചതും
നികുതി ഉയര്‍ത്തിയതും
മധ്യവര്‍ഗ കുടുംബങ്ങളെ
സാരമായി ബാധിച്ചിട്ടുണ്ട്
ചാരായം വാറ്റുക്കേസില്‍
പ്രതിയായ മലയമ്മ
സ്വദേശി രാജന്‍
കസ്റഡിയില്‍ മരിച്ചത്
ഇയാളെ കുതിരവട്ടം
മാനസിക രോഗാശുപത്രിയിലേക്ക്
കൊണ്ടുപോകും വഴിയാണ്
പൊലീസ് ജിപ്പില്‍
വച്ച് സംഭവിച്ചത്
ശബരിമല സന്നിധാനത്തെ
കൗണ്ടര്‍ ഭക്തർക്ക്
നടത്തുന്നത് പഴകിയതും
പൂപ്പല്‍ ബാധിച്ചതുമായ
അരവണയെന്ന് ആക്ഷേപം
ടിന്നുകളില്‍ നിര്‍മ്മിച്ചതെന്ന്
വ്യക്തമായി രേഖപ്പെടുത്തിയിരിക്കുന്ന
അരവണയാണ് ഇന്ന്
രാവിലെ സന്നിധാനം
പതിനെട്ടാം പടിക്ക്
സമീപമുള്ള രണ്ടാം
നമ്പര്‍ കൗണ്ടറില്‍
നിന്ന് വിതരണം
ചെയ്തത് നിലമ്പൂര്‍
സ്വദേശി രാജേഷിന്
ലഭിച്ച പ്രസാദത്തിന്റെ
തീയതി ഡിസംബര്‍
ആണ്അരവണ തീയതി
തിരുത്തി നടത്തിയില്ലെന്നാണ്
അന്ന് ബന്ധപ്പെട്ട
ദേവസ്വം ഉദ്യോഗസ്ഥന്‍
പറഞ്ഞത് കഴിഞ്ഞ
പാരിസ്ഥിതിക കാരണങ്ങളാല്‍
മരവിപ്പിക്കപ്പെട്ട സൈലന്റ്
പദ്ധതി വര്‍ഷത്തിനു
പുനരുജ്ജീവിപ്പിക്കാന്‍ സംസ്ഥാന
സര്‍ക്കാരിന് ഇപ്പോള്‍
കൂടുതല്‍ സങ്കീര്‍ണമായ
കടമ്പകളാണ് മുന്നിലുള്ളതെന്നാണ്
വ്യക്തമാക്കുന്നത് ജൈവവൈവിധ്യമേഖലയായ
സൈലന്റ്വാലിയില്‍ പദ്ധതി
നടപ്പിലാക്കാന്‍ അനുമതി
ലഭിക്കുക ഇപ്പോഴത്തെ
സാഹചര്യത്തില്‍ ദുസ്സാധ്യമാണ്
താളിലേക്കുള്ള കണ്ണികൾ
ഓസ്റ്റിന്‍ ആസ്ഥാനമായി
പ്രിന്റിങ്ങ് പ്രിന്റ്‌സ്
നടത്തുന്ന കമ്പനി
കൂടിയാണ് വയസ്സ്
പ്രായമുള്ള ഓസ്റ്റിനില്‍
ടീനേജ് പെണ്‍കുട്ടിയെ
ലൈംഗികമായി പീഡിപ്പിച്ചു
കേസില്‍ അന്വേഷണം
നേരിടുകയായിരുന്നു ഹിറ്റ്
ചിത്രങ്ങളുടെ നായകനായ
പൃഥ്വിരാജിന്റെ റിലീസ്
ചെയ്യുന്ന ചിത്രമാണ്
